Component,Version,URL
OpenSSL,3.6.0,https://github.com/openssl/openssl/releases/tag/openssl-3.6.0
ceph,16.2.10,https://github.com/ceph/ceph/releases/tag/v16.2.10
ceph-osd,16.2.10,https://github.com/ceph/ceph/releases/tag/v16.2.10
ASN.1 library for Python,0.3.7,https://pypi.org/project/pyasn1/0.3.7/
ASN.1 library for Python,0.4.8,https://pypi.org/project/pyasn1/0.4.8/
more-itertools,10.8.0,https://pypi.org/project/more-itertools/10.8.0/
more-itertools,9.1.0,https://pypi.org/project/more-itertools/9.1.0/
libnfnetlink,1.0.1,https://netfilter.org/projects/libnfnetlink/index.html
libnfnetlink,,https://netfilter.org/projects/libnfnetlink/index.html
elfutils-extra,0.18,https://sourceware.org/elfutils/
Heimdal Kerberos,,https://www.h5l.org/heimdal/
filesystem,3.14,https://src.fedoraproject.org/rpms/filesystem
filesystem,3.16,https://src.fedoraproject.org/rpms/filesystem
python-lz4,1.9.2,https://pypi.org/project/python-lz4/1.9.2/
python-lz4,1.9.3,https://pypi.org/project/python-lz4/1.9.3/
ostree,2020.4,https://github.com/ostreedev/ostree/releases/tag/2020.4
libtirpc,1.2.6,https://sourceforge.net/projects/libtirpc/files/libtirpc/1.2.6/
libtirpc,1.3.2,https://sourceforge.net/projects/libtirpc/files/libtirpc/1.3.2/
libtirpc,,https://sourceforge.net/projects/libtirpc/
GNU Binutils,2.34,https://sourceware.org/binutils/
GNU Binutils,2.37,https://sourceware.org/binutils/
chkconfig,1.14,https://sourceforge.net/projects/chkconfig/files/chkconfig/1.14/
chkconfig,1.21,https://sourceforge.net/projects/chkconfig/files/chkconfig/1.21/
cracklib,2.9.0,https://sourceforge.net/projects/cracklib/files/cracklib/2.9.0/
cracklib,2.9.8,https://sourceforge.net/projects/cracklib/files/cracklib/2.9.8/
OpenPrinting/cups,1.7.5,https://github.com/OpenPrinting/cups/releases/tag/cups-1.7.5
python3-rados,16.2.10,https://github.com/ceph/ceph/releases/tag/v16.2.10
asn1crypto,1.4.0,https://pypi.org/project/asn1crypto/1.4.0/
asn1crypto,1.5.1,https://pypi.org/project/asn1crypto/1.5.1/
p11-kit-trust,0.23.20,https://p11-glue.github.io/p11-kit/
RocksDB,,https://github.com/facebook/rocksdb
efi-filesystem,4-4.p01.ky10/noarch,https://example.com/efi-filesystem
XFS Filesystem,5.6.0,https://git.kernel.org/pub/scm/fs/xfs/xfsprogs/xfsprogs.git
Filter,1.54,https://www.gnu.org/software/grep/ (Filter ambiguous)
which,2.21,https://sourceforge.net/projects/which/
mailcap,2.1.53,https://packages.debian.org/source/mailcap
avahi,0.8,https://www.avahi.org/
avahi,,https://www.avahi.org/
Linux DiskQuota,4.05,https://github.com/linux-mm/ (DiskQuota distributions)
Linux DiskQuota,4.06,https://github.com/linux-mm/
crontabs,1.11,https://manpages.debian.org/unstable/cron/crontab.5.en.html
Term Cap,1.17,https://invisible-island.net/ncurses/terminfo.html
Term Cap,1.18,https://invisible-island.net/ncurses/terminfo.html
zip,3,https://infozip.sourceforge.net/Zip.html
pyca/pynacl,1.2.1,https://github.com/pyca/pynacl/releases/tag/1.2.1
pyca/pynacl,1.5.0,https://github.com/pyca/pynacl/releases/tag/1.5.0
perl-Digest-SHA,5.93,https://metacpan.org/release/Digest-SHA-5.93
libp11,0.4.10,https://github.com/OpenSC/libp11/releases/tag/0.4.10
libp11,,https://github.com/OpenSC/libp11
libnftnl-libs,1.1.7,https://netfilter.org/projects/libnftnl/
libnftnl-libs,1.2.0,https://netfilter.org/projects/libnftnl/
libnftnl-libs,,https://netfilter.org/projects/libnftnl/
mailx,12.5,https://heirloom.sourceforge.net/mailx.html
perl-CPAN-Meta-YAML,0.018,https://metacpan.org/release/CPAN-Meta-YAML-0.018
GLib,2.3.2,https://download.gnome.org/sources/glib/2.3/
GLib,2.3.3,https://download.gnome.org/sources/glib/2.3/
GLib,2.66.8,https://download.gnome.org/sources/glib/2.66/
GLib,2.72.2,https://download.gnome.org/sources/glib/2.72/
GLib,,https://www.gtk.org/
libnghttp2,1.41.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.41.0
libnghttp2,1.46.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.46.0
colorama,0.4.4,https://pypi.org/project/colorama/0.4.4/
libxml2,1.1.37,https://xmlsoft.org/
libxml2,2.9.10,https://xmlsoft.org/
libxml2,2.9.14,https://xmlsoft.org/
libxml2,,https://xmlsoft.org/
lttng-ust,2.10.1,https://lttng.org/
ceph-mon,16.2.10,https://github.com/ceph/ceph/releases/tag/v16.2.10
py-lmdb,0.9.24,https://pypi.org/project/lmdb/0.9.24/
libXau,1.0.10,https://www.x.org/releases/individual/lib/libXau-1.0.10.tar.gz
libXau,,https://www.x.org/
Pod::Escapes,1.04,https://metacpan.org/release/Pod-Escapes-1.04
