开源组件名称,开源组件版本,开源官方github地址,校验结果,备注
ceph,16.2.10,https://github.com/ceph/ceph,Exists,ceph 仓库包含 ceph-osd/mon 等组件（tag v16.2.10 可在 releases 找到）
ceph-osd,16.2.10,https://github.com/ceph/ceph,Exists,ceph-osd 为 ceph 仓库内组件
ASN.1 library for Python,0.3.7,https://github.com/etingof/pyasn1,Exists,pyasn1 releases 含 0.3.7
ASN.1 library for Python,0.4.8,https://github.com/etingof/pyasn1,Exists,pyasn1 releases 含 0.4.8
more-itertools,10.8.0,https://github.com/more-itertools/more-itertools,Exists,
more-itertools,9.1.0,https://github.com/more-itertools/more-itertools,Exists,
libnfnetlink,1.0.1,https://git.netfilter.org/libnfnetlink/,Upstream-not-GitHub,官方上游在 netfilter.org；GitHub 多为镜像
libnfnetlink,,https://git.netfilter.org/libnfnetlink/,Upstream-not-GitHub,同上
elfutils-extra,0.18,https://sourceware.org/git/?p=elfutils.git,Upstream-not-GitHub,未见独立 elfutils-extra 官方 GitHub，elfutils 上游在 sourceware
Heimdal Kerberos,,https://github.com/heimdal/heimdal,Exists,
filesystem,3.14,https://github.com/PyFilesystem/pyfilesystem2,Exists,假定为 PyFilesystem (pyfilesystem2)
filesystem,3.16,https://github.com/PyFilesystem/pyfilesystem2,Exists,假定为 PyFilesystem (pyfilesystem2)
python-lz4,1.9.2,https://github.com/python-lz4/python-lz4,Exists,
python-lz4,1.9.3,https://github.com/python-lz4/python-lz4,Exists,
ostree,2020.4,https://github.com/ostreedev/ostree,Exists,
libtirpc,1.2.6,https://github.com/thkukuk/libtirpc,Exists,
libtirpc,1.3.2,https://github.com/thkukuk/libtirpc,Exists,
libtirpc,,https://github.com/thkukuk/libtirpc,Exists,
GNU Binutils,2.34,https://sourceware.org/git/binutils-gdb.git,Upstream-not-GitHub,官方上游在 sourceware/git；GitHub 有镜像
GNU Binutils,2.37,https://sourceware.org/git/binutils-gdb.git,Upstream-not-GitHub,同上
chkconfig,1.14,https://github.com/rpm-software-management/chkconfig,Exists,
chkconfig,1.21,https://github.com/rpm-software-management/chkconfig,Exists,
cracklib,2.9.0,https://savannah.gnu.org/git/cracklib.git,Upstream-not-GitHub,官方在 Savannah/GNU；无统一官方 GitHub
